run_id,endpoint,model,bin,n,mean_predicted,observed
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,1,2987,0.08356080103865725,0.09474389019082692
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,2,2987,0.10593869003716153,0.18781386006026113
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,3,2986,0.12718286353503375,0.20294708640321502
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,4,2987,0.1414117632927072,0.20154000669568128
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,5,2986,0.15513300102000108,0.21902210314802412
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,6,2987,0.17126179585990783,0.2999665215935721
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,7,2986,0.20053313155580552,0.4434025452109846
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,8,2987,0.254590374944568,0.5835286240374958
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,9,2986,0.37342219177230856,0.7421299397186872
binary_20260719_044949_c6c955a30fc2,IDH,Source MLP,10,2987,0.666678736745391,0.9005691329092735
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,1,2987,0.06746792967722454,0.0555741546702377
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,2,2987,0.10774568836661386,0.09273518580515568
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,3,2986,0.1533261926001646,0.13831212324179504
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,4,2987,0.20937349513683676,0.1868095078674255
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,5,2986,0.27677459265544035,0.2531815137307435
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,6,2987,0.3600130351149718,0.36792768664211584
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,7,2986,0.4598507408156086,0.4879437374413932
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,8,2987,0.5902396515905277,0.613324405758286
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,9,2986,0.7408682057714985,0.7608841259209645
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,10,2987,0.9012772767963907,0.9189822564445932
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,1,2987,0.05094225042379222,0.06427854034147974
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,2,2987,0.10881782352373562,0.09641781051221962
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,3,2986,0.15986847430673867,0.1346282652377763
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,4,2987,0.2178192048054166,0.18245731503180448
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,5,2986,0.28715682754282035,0.2531815137307435
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,6,2987,0.36878751042260455,0.3575493806494811
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,7,2986,0.4647937084473912,0.49899531145344944
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,8,2987,0.5812582944656821,0.6083026447941078
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,9,2986,0.7201763550768017,0.7595445411922304
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,10,2987,0.8844004116006962,0.9203213927017074
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,1,2987,0.02372333198667186,0.0033478406427854034
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,2,2987,0.04620462684590349,0.009039169735520589
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,3,2986,0.06218651001253827,0.01942397856664434
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,4,2987,0.07849748238409658,0.024774020756611986
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,5,2986,0.09678001187805267,0.04688546550569324
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,6,2987,0.11709636802971692,0.07599598259122865
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,7,2986,0.14247363749602251,0.10013395847287342
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,8,2987,0.1747852659606024,0.16873116839638433
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,9,2986,0.22308326813508603,0.25753516409912924
binary_20260719_044949_c6c955a30fc2,IH,Source MLP,10,2987,0.3438838594402688,0.5286240374958152
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,1,2987,0.001998827006804061,0.002678272514228323
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,2,2987,0.004691448827294941,0.0050217609641781055
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,3,2986,0.008947274026090602,0.014735432016075016
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,4,2987,0.016483005656262265,0.017408771342484097
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,5,2986,0.029843858344361384,0.045880776959142666
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,6,2987,0.053174107117037066,0.06595246066287244
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,7,2986,0.09155173975233459,0.09310113864701942
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,8,2987,0.15483023435336069,0.16237027117509206
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,9,2986,0.27269000370461005,0.27829872739450773
binary_20260719_044949_c6c955a30fc2,IH,Updated MLP,10,2987,0.5287190409751983,0.5490458654168061
