partition_id,branch_a,branch_b
random_01,透析龄年,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压
random_02,history_IDH_240_interval_1_rate,history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_03,透析龄年,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压
random_04,透前舒张压,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透析龄年
random_05,历史平均透前体重,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_06,history_IDH_240_interval_4_rate,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_07,年龄,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_08,history_prior_session_count,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_09,透前舒张压,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透析龄年
random_10,透前收缩压,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前舒张压|透析龄年
random_11,历史平均透前舒张压,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_3_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
random_12,history_IDH_240_interval_3_rate,history_IDH_240_interval_1_rate|history_IDH_240_interval_2_rate|history_IDH_240_interval_4_rate|history_IH_240_interval_1_rate|history_IH_240_interval_2_rate|history_IH_240_interval_3_rate|history_IH_240_interval_4_rate|history_prior_session_count|历史平均透前体重|历史平均透前收缩压|历史平均透前舒张压|年龄|性别|透前体重|透前体重-干体重|透前收缩压|透前舒张压|透析龄年
