model_id,seed,endpoint,run_id,roc_auc,roc_auc_lower,roc_auc_upper,pr_auc,pr_auc_lower,pr_auc_upper,brier,brier_lower,brier_upper,ece_10_quantile_bins,ece_lower,ece_upper,status
A_dual_no_alignment,13,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,13,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,2024,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,2024,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,42,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,42,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,7,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,7,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,99,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
A_dual_no_alignment,99,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,13,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,13,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,2024,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,2024,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,42,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,42,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,7,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,7,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,99,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
B_dual_global_coral,99,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,13,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,13,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,2024,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,2024,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,42,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,42,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,7,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,7,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,99,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
C_dual_random_feature_coral,99,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,13,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,13,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,2024,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,2024,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,42,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,42,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,7,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,7,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,99,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
D_dual_outcome_specific_coral,99,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,13,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,13,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,2024,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,2024,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,42,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,42,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,7,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,7,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,99,IDH,,,,,,,,,,,,,,pending_server_confirmatory_run
E_single_encoder_reference,99,IH,,,,,,,,,,,,,,pending_server_confirmatory_run
