endpoint,seed,metric,model_a,model_b,run_id_a,run_id_b,delta_a_minus_b,lower,upper,favorable_direction,bootstrap_unit,bootstrap_valid_replicates,status
IDH,7,roc_auc,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,pr_auc,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,brier,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,roc_auc,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,pr_auc,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,brier,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,roc_auc,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,pr_auc,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,brier,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,roc_auc,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,pr_auc,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,brier,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,B_dual_global_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,roc_auc,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,pr_auc,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,brier,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,roc_auc,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,pr_auc,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,brier,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,C_dual_random_feature_coral,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,roc_auc,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,pr_auc,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,positive,patient_id,,pending_server_confirmatory_run
IDH,7,brier,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,roc_auc,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,pr_auc,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,positive,patient_id,,pending_server_confirmatory_run
IH,7,brier,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,negative,patient_id,,pending_server_confirmatory_run
IH,7,ece_10_quantile_bins,D_dual_outcome_specific_coral,E_single_encoder_reference,,,,,,negative,patient_id,,pending_server_confirmatory_run
IDH,13,roc_auc,D_dual_outcome_specific_coral,A_dual_no_alignment,,,,,,positive,patient_id,,pending_server_confirmatory_run
