model,horizon_min,threshold,clinical_action,flagged_sessions_n,flagged_sessions_proportion,events_n,captured_events_n,event_capture_rate,ppv,workload_per_event_captured,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,delta_vs_treat_all,delta_vs_treat_none,false_positives_n
CDAN-GSN (current locked run),60,0.1,intensified monitoring,24106,0.4064955650736906,8687,7438,0.856221940831127,0.30855388699908737,3.2409249798332884,0.0941958112711207,0.051652745457338875,0.0,0.042543065813781825,0.0941958112711207,16668
CDAN-GSN (current locked run),60,0.2,ultrafiltration review,12296,0.20734545209267816,8687,5120,0.5893864395073097,0.41639557579700714,2.4015625,0.05608579811810731,-0.06689066136049376,0.0,0.12297645947860107,0.05608579811810731,7176
CDAN-GSN (current locked run),60,0.3,bedside reassessment,7560,0.12748305284813327,8687,3643,0.41936226545412686,0.4818783068783069,2.075212736755421,0.03312343115385172,-0.21930361298342146,0.0,0.2524270441372732,0.03312343115385172,3917
CDAN-GSN (current locked run),120,0.1,intensified monitoring,36741,0.6195575191393208,14936,14308,0.9579539367970006,0.3894287036280994,2.5678641319541513,0.19924192176392777,0.16873704840383874,0.0,0.03050487336008903,0.19924192176392777,22433
CDAN-GSN (current locked run),120,0.2,ultrafiltration review,23619,0.3982833631243466,14936,12067,0.8079137653990359,0.5109022397222575,1.9573216209496975,0.15478398704934065,0.06482917945431857,0.0,0.08995480759502208,0.15478398704934065,11552
CDAN-GSN (current locked run),120,0.3,bedside reassessment,15611,0.2632457589963239,14936,9328,0.6245313336904125,0.5975273845365447,1.6735634648370497,0.11188974594930548,-0.06876665205220739,0.0,0.18065639800151287,0.11188974594930548,6283
Local Cox update,60,0.1,intensified monitoring,22074,0.3722302789113352,8687,7473,0.8602509496949464,0.3385430823593368,2.95383380168607,0.09865884230998394,0.051652745457338875,0.0,0.04700609685264506,0.09865884230998394,14601
Local Cox update,60,0.2,ultrafiltration review,11500,0.19392263330073184,8687,5357,0.6166685852423162,0.4658260869565217,2.1467239126376705,0.06443711847829753,-0.06689066136049376,0.0,0.1313277798387913,0.06443711847829753,6143
Local Cox update,60,0.3,bedside reassessment,6681,0.11266061852888604,8687,3673,0.422815701623115,0.5497679988025744,1.8189490879390144,0.04019859604831444,-0.21930361298342146,0.0,0.25950220903173593,0.04019859604831444,3008
Local Cox update,120,0.1,intensified monitoring,35578,0.5999460389194293,14936,14221,0.9521290840921264,0.3997133059756029,2.5017931228464945,0.19979090081278877,0.16873704840383874,0.0,0.031053852408950033,0.19979090081278877,21357
Local Cox update,120,0.2,ultrafiltration review,22160,0.3736804829516711,14936,12035,0.8057712908409213,0.543095667870036,1.8412962193601994,0.16026019358537655,0.06482917945431857,0.0,0.09543101413105798,0.16026019358537655,10125
Local Cox update,120,0.3,bedside reassessment,15184,0.2560453273076793,14936,9644,0.6456882699517943,0.6351422550052687,1.5744504355039404,0.1225880119677968,-0.06876665205220739,0.0,0.19135466402000417,0.1225880119677968,5540
