run_id,experiment_id,model_family_id,architecture,alignment_strategy,training_mode,seed,random_partition_id,random_family,config_path,config_sha256,evidence_node,output_dir,status,execution_index,within_seed_position
V3-source_only__seed_7,V3-E3-CONTROLS,source_only,single_encoder,none,source_only,7,,,v3/experiments/server_configs/V3-source_only__seed_7.yaml,de7e3c97d8e9a742ede08326c9c42bae13f15f758c7d452df542c55f0ce4e2ab,E3.1,experiments/v3_results/V3-source_only__seed_7,planned,1,1
V3-A__seed_7,V3-E3-CONTROLS,A,single_encoder,no_alignment,supervised_update,7,,,v3/experiments/server_configs/V3-A__seed_7.yaml,ce8cdfb1b8c8ac8ca216ddaf0cb75b24f1dd0b436e621ea1cab21ff730236048,E3.1,experiments/v3_results/V3-A__seed_7,planned,2,2
V3-B__seed_7,V3-E3-CONTROLS,B,single_encoder,global_coral,supervised_update,7,,,v3/experiments/server_configs/V3-B__seed_7.yaml,32e4565f2570be82cfdb44d883c5a9fc561561e10d4c7b37b4e1188429a26459,E3.1,experiments/v3_results/V3-B__seed_7,planned,3,3
V3-C__seed_7,V3-E3-CONTROLS,C,dual_branch,no_alignment,supervised_update,7,,,v3/experiments/server_configs/V3-C__seed_7.yaml,4893ec4ded9c7ceecef8725a30f02434e4c0d1dfc6b91d2261fee6481ea209be,E3.1,experiments/v3_results/V3-C__seed_7,planned,4,4
V3-D1__seed_7,V3-E3-SELECTIVE,D1,dual_branch,physiology_coral,supervised_update,7,,,v3/experiments/server_configs/V3-D1__seed_7.yaml,fefdd2c457ca7689f97c6c6d34088ee22db89e037b3803fd2aea1a59a437fb4b,E3.2,experiments/v3_results/V3-D1__seed_7,planned,5,5
V3-D2__seed_7,V3-E3-SELECTIVE,D2,dual_branch,treatment_coral,supervised_update,7,,,v3/experiments/server_configs/V3-D2__seed_7.yaml,6ae1aac9b4baeae3658f0495f554cc758e0bdde638b3e7f473c931f4601e3d1e,E3.2,experiments/v3_results/V3-D2__seed_7,planned,6,6
V3-F__seed_7,V3-E3-CONTROLS,F,single_encoder,none,target_only,7,,,v3/experiments/server_configs/V3-F__seed_7.yaml,b4b9c375a0cfe77caf872fe9e1db3a16b55569cab19daef3e4fd458ae2a5696e,E3.1,experiments/v3_results/V3-F__seed_7,planned,7,7
V3-G__seed_7,V3-E3-CONTROLS,G,dual_branch,global_coral,supervised_update,7,,,v3/experiments/server_configs/V3-G__seed_7.yaml,b07fd51d820a210b8a988cec11ddccac2d2ebba17a86e7ce921f838dafd2ce26,E3.1,experiments/v3_results/V3-G__seed_7,planned,8,8
V3-E__A_unrestricted_random-01__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-01,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-01,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-01__seed_7.yaml,0b11317fe5ca442fbde4767e2320cafde3657bbcf443a8e46ef52fbd5636ccf1,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-01__seed_7,planned,9,9
V3-E__A_unrestricted_random-02__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-02,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-02,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-02__seed_7.yaml,2490dca2bfd4f0c917425ed8b831f43423e3fb104f7ec931356cbee8e66c4890,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-02__seed_7,planned,10,10
V3-E__A_unrestricted_random-03__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-03,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-03,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-03__seed_7.yaml,a0b236b5f371163449e01e2ba08e229f10a3b09d109a0f46d718f9bc3afbfc4e,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-03__seed_7,planned,11,11
V3-E__A_unrestricted_random-04__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-04,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-04,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-04__seed_7.yaml,66e4adbc3919cd42f81b87d733c67ef87d9930836a3f67488dadd7c8d8f697ee,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-04__seed_7,planned,12,12
V3-E__A_unrestricted_random-05__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-05,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-05,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-05__seed_7.yaml,57d57d1521b9a721cf14c9d76a03393eeba7f653081fc2e6a9b6a6b2b33ef9d4,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-05__seed_7,planned,13,13
V3-E__A_unrestricted_random-06__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-06,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-06,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-06__seed_7.yaml,bf02d2dc8b7ca61432b0d63bba7b410c34098cbcced62c2fa273485f5aa297e1,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-06__seed_7,planned,14,14
V3-E__A_unrestricted_random-07__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-07,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-07,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-07__seed_7.yaml,e73b57d606349d8b3694e3d12c611a7a82b16e0b2ed028dcdeb55247a4f7a407,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-07__seed_7,planned,15,15
V3-E__A_unrestricted_random-08__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-08,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-08,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-08__seed_7.yaml,81adc837616aee02de2be3e367d383efc93c848e5b941fd62bd2a3cb35361642,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-08__seed_7,planned,16,16
V3-E__A_unrestricted_random-09__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-09,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-09,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-09__seed_7.yaml,4b57bc45e70db32015bd4d122ff2aab93dd740d86c52fa3d3a89a987e5849b67,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-09__seed_7,planned,17,17
V3-E__A_unrestricted_random-10__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-10,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-10,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-10__seed_7.yaml,28dcdedce040bc10d53bd58fd547026ccebdee3a1235c01c8c6e0df3ec09aad5,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-10__seed_7,planned,18,18
V3-E__A_unrestricted_random-11__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-11,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-11,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-11__seed_7.yaml,d703e3789e840ecd283f3f8c6e79403fbd9d5cf72c4fed57d7787835a12b7fd8,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-11__seed_7,planned,19,19
V3-E__A_unrestricted_random-12__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-12,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-12,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-12__seed_7.yaml,3c9bfb8a11a759464fa131d92700bca6edeb60a7daaf255cd7dfebf44a6760cc,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-12__seed_7,planned,20,20
V3-E__A_unrestricted_random-13__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-13,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-13,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-13__seed_7.yaml,4db69ce6bc57992502e1265e83dee0fec4b04d3fb78c45365c66f6236eefe54f,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-13__seed_7,planned,21,21
V3-E__A_unrestricted_random-14__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-14,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-14,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-14__seed_7.yaml,f203594705d9bfe30bb57c2c16eff6e5883b31fbbc0dc2f4edd36f7849b30aa6,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-14__seed_7,planned,22,22
V3-E__A_unrestricted_random-15__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-15,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-15,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-15__seed_7.yaml,2a538fac32e312e97788264cc5e86db9c5a746479f2012cea31ab3e046fde374,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-15__seed_7,planned,23,23
V3-E__A_unrestricted_random-16__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-16,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-16,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-16__seed_7.yaml,88668176b610184ba68633023937fee8054f22a784440e58b05bd52a76a115eb,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-16__seed_7,planned,24,24
V3-E__A_unrestricted_random-17__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-17,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-17,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-17__seed_7.yaml,b1cb6901be8f1c14bedd37d9f58d86f15552f03c6913c8d7681e114b607e5003,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-17__seed_7,planned,25,25
V3-E__A_unrestricted_random-18__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-18,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-18,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-18__seed_7.yaml,1a3df5755ba82b69b2cafaf90d30993af134e59cc38244e07c042a3cfaca5b56,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-18__seed_7,planned,26,26
V3-E__A_unrestricted_random-19__seed_7,V3-E3-RANDOM,E__A_unrestricted_random-19,dual_branch,random_feature_coral,supervised_update,7,A_unrestricted_random-19,A_unrestricted_random,v3/experiments/server_configs/V3-E__A_unrestricted_random-19__seed_7.yaml,08b2413be5d8b286a930865174664215deb4b5b2eed8a791c6afbe5e1b9ab7e9,E3.3,experiments/v3_results/V3-E__A_unrestricted_random-19__seed_7,planned,27,27
V3-E__B_variance_matched-01__seed_7,V3-E3-RANDOM,E__B_variance_matched-01,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-01,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-01__seed_7.yaml,75a16bd49d8d77e36876a24d42924a9496464402d8e84cd8a4fcdee8d3a184a6,E3.3,experiments/v3_results/V3-E__B_variance_matched-01__seed_7,planned,28,28
V3-E__B_variance_matched-02__seed_7,V3-E3-RANDOM,E__B_variance_matched-02,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-02,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-02__seed_7.yaml,ef111b1983466fb9ba4c4b14e88031a2b879acfd94fc4d9b72add6b46b68497b,E3.3,experiments/v3_results/V3-E__B_variance_matched-02__seed_7,planned,29,29
V3-E__B_variance_matched-03__seed_7,V3-E3-RANDOM,E__B_variance_matched-03,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-03,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-03__seed_7.yaml,b13e7279e3ab51b774355728735a4a40fc0caf85b9070f45b25629a0c100ea81,E3.3,experiments/v3_results/V3-E__B_variance_matched-03__seed_7,planned,30,30
V3-E__B_variance_matched-04__seed_7,V3-E3-RANDOM,E__B_variance_matched-04,dual_branch,random_feature_coral,supervised_update,7,B_variance_matched-04,B_variance_matched,v3/experiments/server_configs/V3-E__B_variance_matched-04__seed_7.yaml,f32280446a5b8f8f110c9cf7baad6ce19015cb2627794f00435efdb50b3eabe3,E3.3,experiments/v3_results/V3-E__B_variance_matched-04__seed_7,planned,31,31
